IDProductos;FechaInicial;FechaFinal
1137;07/27/2025;08/01/2025
990;08/29/2025;09/01/2025
1486;04/25/2025;04/28/2025
4145;11/26/2025;11/30/2025
10415;04/02/2026;04/06/2026
13014;10/29/2025;11/25/2025
14681;07/30/2025;09/16/2025
1715;04/14/2026;04/19/2026
5823;01/29/2026;02/01/2026
14342;01/21/2025;02/06/2025
17092;01/02/2024;12/28/2025
7992;05/21/2024;05/29/2024
8029;02/22/2024;02/28/2024
14663;01/02/2024;02/18/2025
5326;06/21/2025;06/30/2025
8664;10/17/2025;10/20/2025
10459;01/17/2025;01/20/2025
14324;09/20/2024;10/22/2024
991;12/20/2024;01/07/2025
1301;05/11/2024;05/15/2024
3503;08/23/2025;09/03/2025
3555;12/03/2024;12/12/2024
7848;01/25/2026;02/02/2026
10447;04/25/2024;05/09/2024
10577;08/18/2024;08/24/2024
2815;10/25/2024;11/12/2024
2834;05/22/2025;05/27/2025
4227;06/12/2025;06/15/2025
4028;01/10/2026;01/13/2026
13079;03/29/2025;04/01/2025
1578;08/22/2024;08/28/2024
8819;01/14/2026;01/19/2026
11967;09/20/2024;10/28/2024
448;05/08/2026;05/12/2026
8185;04/22/2025;05/05/2025
12105;05/15/2024;05/27/2024
1284;03/01/2026;03/06/2026
13493;10/20/2024;10/23/2024
6134;11/29/2024;12/03/2024
7285;03/30/2025;04/02/2025
6603;12/06/2025;12/10/2025
7954;11/17/2024;11/25/2024
11474;10/18/2024;10/22/2024
12302;07/19/2025;07/23/2025
14094;03/26/2026;04/06/2026
3933;12/14/2024;01/19/2025
4667;04/29/2026;05/04/2026
7395;05/19/2024;07/10/2024
6608;06/27/2024;07/01/2024
11356;12/10/2025;12/20/2025
1227;04/10/2026;04/15/2026
3737;07/17/2025;08/20/2025
5902;05/10/2024;05/14/2024
10263;03/14/2024;03/17/2024
12172;04/17/2024;06/05/2024
341;12/05/2025;12/08/2025
6243;04/18/2024;04/25/2024
9193;07/18/2025;07/21/2025
14579;03/06/2026;03/09/2026
1795;01/02/2024;01/10/2024
3723;05/15/2025;05/22/2025
4455;12/29/2024;01/07/2025
7354;05/03/2026;05/10/2026
8102;10/11/2025;10/15/2025
10245;05/07/2024;07/02/2024
13840;08/27/2024;09/03/2024
1383;05/17/2024;05/20/2024
3782;02/18/2024;02/23/2024
4962;09/19/2025;09/22/2025
10769;03/06/2026;03/23/2026
12875;04/12/2024;04/15/2024
13281;04/02/2024;04/23/2024
15389;02/21/2026;05/12/2026
6368;04/02/2026;04/06/2026
6510;09/20/2024;09/27/2024
1140;05/01/2026;05/04/2026
4307;01/02/2024;02/14/2024
7040;09/05/2025;09/21/2025
7792;07/04/2025;07/08/2025
13125;09/10/2025;09/16/2025
13765;03/27/2024;03/31/2024
13416;01/20/2024;01/20/2025
301;02/24/2024;02/27/2024
2135;03/23/2024;03/26/2024
2941;02/10/2024;02/22/2024
5251;03/24/2024;03/31/2024
7398;02/08/2026;02/11/2026
8697;05/08/2024;05/17/2024
10348;12/19/2024;01/06/2025
14069;05/16/2025;05/19/2025
17368;01/30/2025;02/02/2025
13839;04/09/2025;05/05/2025
14443;07/24/2025;08/03/2025
14315;08/28/2024;09/02/2024
8569;05/30/2024;06/04/2024
6345;04/05/2025;04/09/2025
6653;04/19/2024;04/22/2024
7386;12/19/2025;03/08/2026
8194;07/19/2025;07/23/2025
15214;01/02/2024;09/16/2025
672;12/27/2025;01/04/2026
6556;08/22/2025;08/25/2025
9907;02/29/2024;03/04/2024
9725;03/11/2025;03/16/2025
14033;12/15/2024;12/19/2024
1963;10/18/2025;10/21/2025
6197;09/19/2024;09/24/2024
526;04/30/2026;05/05/2026
3822;11/02/2024;11/05/2024
4712;04/17/2025;04/20/2025
7313;05/24/2024;05/27/2024
3032;09/18/2025;10/06/2025
10932;03/08/2024;07/23/2024
10443;09/10/2025;09/14/2025
12017;04/11/2026;04/26/2026
1595;04/17/2025;04/21/2025
5444;11/09/2025;11/18/2025
8708;06/27/2025;06/30/2025
9898;08/01/2024;08/05/2024
13274;12/19/2025;01/09/2026
997;10/05/2024;10/16/2024
2594;05/29/2024;06/20/2024
4392;08/17/2025;09/04/2025
6940;03/20/2025;03/24/2025
9963;03/02/2024;03/08/2024
15111;03/19/2026;03/24/2026
14671;07/22/2025;07/31/2025
17366;03/25/2026;05/12/2026
73;02/16/2025;02/20/2025
110;11/01/2024;11/04/2024
2864;03/08/2026;03/11/2026
13324;01/02/2024;01/08/2025
14956;11/23/2025;11/26/2025
3033;05/10/2024;05/15/2024
6556;12/28/2024;01/06/2025
6390;09/29/2024;10/02/2024
8225;09/30/2025;10/16/2025
13270;12/24/2025;01/13/2026
3733;01/09/2026;01/28/2026
3748;06/26/2025;08/29/2025
3749;03/27/2024;04/01/2024
11611;02/09/2024;02/18/2024
241;09/18/2024;09/23/2024
9602;03/19/2025;04/13/2025
654;11/29/2024;12/05/2024
1809;08/15/2024;08/19/2024
2499;06/28/2024;07/01/2024
2945;06/15/2024;06/18/2024
9906;07/28/2024;08/03/2024
13190;02/16/2024;02/25/2024
8781;01/23/2026;01/26/2026
13181;06/28/2025;07/01/2025
14165;08/03/2024;08/11/2024
9611;02/01/2024;02/06/2024
10753;01/02/2024;03/20/2025
13997;02/09/2025;02/24/2025
10618;05/14/2025;05/21/2025
12760;05/16/2024;05/20/2024
13275;08/01/2025;08/14/2025
13269;02/16/2025;02/19/2025
1676;05/04/2025;05/12/2025
1812;12/28/2025;01/04/2026
2042;11/03/2024;11/06/2024
1278;05/10/2025;05/14/2025
12580;07/04/2025;07/09/2025
7462;12/11/2025;12/18/2025
14207;04/23/2025;04/27/2025
13019;05/03/2025;05/08/2025
3968;12/06/2025;12/11/2025
7695;04/24/2025;04/27/2025
8701;02/24/2024;03/01/2024
13844;04/18/2024;04/25/2024
912;02/17/2024;02/20/2024
7996;01/16/2026;02/04/2026
13799;02/22/2025;03/18/2025
5232;11/16/2025;11/20/2025
6301;08/16/2025;08/31/2025
12398;06/05/2024;06/17/2024
1577;11/02/2025;11/05/2025
3957;04/25/2025;05/02/2025
3837;10/03/2025;10/07/2025
7828;03/27/2024;04/03/2024
8190;05/04/2025;05/09/2025
1990;10/16/2025;10/23/2025
3346;06/21/2025;06/24/2025
7144;10/29/2024;11/08/2024
9161;12/17/2025;12/21/2025
12437;01/12/2024;05/16/2024
12679;02/18/2026;02/24/2026
12016;01/05/2024;01/23/2024
13815;04/09/2025;07/24/2025
2592;12/28/2025;01/05/2026
2870;07/24/2024;07/29/2024
3013;07/06/2025;07/10/2025
6899;11/07/2025;05/12/2026
14266;06/22/2025;06/25/2025
15297;01/02/2024;10/14/2025
7792;02/14/2024;02/19/2024
12075;07/22/2025;08/12/2025
1295;11/14/2025;11/17/2025
6685;10/05/2025;10/14/2025
13023;06/07/2025;06/10/2025
154;11/08/2025;11/17/2025
1906;10/11/2025;10/14/2025
5264;08/10/2024;08/15/2024
9361;03/08/2024;03/11/2024
3862;06/08/2024;06/13/2024
4626;02/05/2025;02/10/2025
7285;02/05/2026;02/15/2026
8272;01/05/2024;01/09/2024
13807;01/18/2024;01/24/2024
1959;11/10/2024;11/14/2024
3973;01/26/2024;01/29/2024
4599;03/15/2025;03/18/2025
6936;04/25/2026;04/29/2026
11111;04/03/2025;05/06/2026
13999;06/22/2024;06/27/2024
13843;09/05/2025;09/15/2025
14733;12/24/2025;05/12/2026
17342;03/25/2026;03/31/2026
539;06/29/2025;07/02/2025
6992;02/28/2026;03/18/2026
13521;04/02/2024;05/05/2024
5074;09/05/2025;09/09/2025
7991;06/17/2025;06/24/2025
3189;04/22/2025;04/28/2025
6213;02/18/2024;03/08/2024
13840;03/02/2025;03/07/2025
10385;10/30/2025;11/19/2025
9083;04/24/2026;05/05/2026
11082;10/25/2025;10/28/2025
12160;02/15/2024;03/08/2024
3743;02/08/2026;02/11/2026
3502;02/26/2025;03/02/2025
9348;09/04/2025;09/16/2025
14262;10/18/2025;10/21/2025
14957;09/30/2025;10/03/2025
10900;11/07/2025;11/10/2025
13115;12/19/2025;01/13/2026
14049;06/16/2024;07/03/2024
1285;04/05/2025;04/09/2025
3098;05/23/2024;05/27/2024
2731;01/19/2024;01/22/2024
6289;04/05/2025;04/09/2025
6986;03/27/2025;03/30/2025
9182;04/09/2025;05/21/2025
542;03/01/2025;03/04/2025
4242;03/16/2024;03/19/2024
7049;05/10/2025;05/14/2025
7048;05/23/2024;05/26/2024
7067;08/13/2025;09/03/2025
12253;05/10/2024;05/24/2024
13757;07/26/2024;07/29/2024
13958;01/02/2024;03/01/2024
972;05/05/2026;05/12/2026
5594;11/21/2025;11/24/2025
7169;11/09/2024;11/12/2024
12260;12/23/2025;04/29/2026
5087;08/31/2024;09/09/2024
11488;12/03/2025;12/10/2025
5885;03/15/2026;03/19/2026
8342;03/07/2025;03/16/2025
13273;10/02/2025;10/14/2025
12963;04/24/2026;05/04/2026
13838;11/21/2025;12/08/2025
3584;09/04/2024;09/08/2024
4886;03/28/2024;03/31/2024
17163;01/02/2024;12/28/2025
550;07/18/2025;07/24/2025
3648;11/15/2025;11/18/2025
8504;06/01/2024;06/10/2024
13016;01/29/2026;02/01/2026
6134;01/23/2025;01/27/2025
7046;03/28/2024;04/01/2024
13023;12/25/2025;01/05/2026
1470;04/08/2026;04/14/2026
5300;02/18/2026;02/22/2026
7112;09/03/2024;09/16/2024
9933;04/30/2024;05/05/2024
13305;05/16/2025;05/28/2025
3364;05/15/2025;05/20/2025
6185;01/02/2024;01/05/2024
7106;04/19/2026;04/26/2026
8060;02/14/2026;02/19/2026
11064;04/26/2024;05/15/2024
1245;09/26/2025;10/08/2025
6562;08/02/2024;08/07/2024
10617;10/06/2024;10/10/2024
8532;03/01/2025;03/13/2025
14303;09/18/2024;10/16/2024
940;09/24/2025;09/28/2025
1267;03/28/2024;03/31/2024
1445;03/28/2024;04/01/2024
7204;10/31/2025;11/03/2025
8581;09/19/2025;09/24/2025
1822;12/21/2024;01/07/2025
10512;03/31/2026;04/07/2026
13533;03/14/2024;11/26/2024
382;07/04/2024;07/07/2024
6433;09/13/2025;09/17/2025
2934;12/23/2025;01/05/2026
13839;12/18/2025;01/13/2026
2832;06/29/2024;07/03/2024
7011;02/24/2024;03/07/2024
6940;01/14/2026;01/19/2026
14031;04/19/2024;05/12/2026
2017;12/29/2024;01/06/2025
2934;11/09/2024;11/22/2024
10540;08/15/2024;08/19/2024
13545;10/30/2025;11/03/2025
16276;02/25/2026;05/12/2026
81;03/07/2024;03/31/2024
14216;08/16/2025;08/19/2025
773;04/02/2026;04/06/2026
8236;04/01/2026;04/06/2026
12371;12/05/2025;01/29/2026
13310;08/30/2025;09/03/2025
14315;12/19/2024;12/22/2024
155;07/31/2024;08/04/2024
1035;09/21/2025;10/05/2025
4811;11/19/2025;12/10/2025
6370;04/11/2024;04/16/2024
1963;04/15/2025;04/25/2025
3392;05/29/2025;06/02/2025
6179;12/27/2024;01/07/2025
6507;08/16/2024;08/25/2024
8030;05/30/2025;06/03/2025
14206;11/22/2024;11/26/2024
7066;05/13/2025;06/02/2025
9726;07/06/2024;07/09/2024
10310;06/05/2025;06/08/2025
697;03/13/2024;03/20/2024
1688;11/09/2024;11/14/2024
4379;03/28/2024;03/31/2024
8522;03/27/2024;03/31/2024
10468;03/12/2024;03/15/2024
9841;01/31/2024;02/19/2024
13766;01/24/2026;01/28/2026
13034;10/04/2024;10/17/2024
3582;02/26/2025;03/04/2025
8664;02/28/2025;03/03/2025
8661;11/07/2024;11/13/2024
9962;07/09/2025;07/29/2025
11280;01/02/2024;01/10/2024
12198;06/17/2025;06/20/2025
14854;05/14/2025;05/12/2026
3118;03/28/2026;05/10/2026
6655;12/21/2024;01/10/2025
10469;04/02/2026;04/06/2026
13290;01/10/2025;01/13/2025
1458;09/25/2025;09/28/2025
12086;06/28/2024;09/12/2024
1775;11/17/2024;12/02/2024
4290;06/12/2025;06/30/2025
8250;07/06/2025;08/27/2025
9365;08/01/2024;08/11/2024
13494;04/16/2025;04/20/2025
4594;07/26/2025;07/29/2025
7105;10/17/2025;10/22/2025
9361;11/17/2024;12/09/2024
9978;01/25/2024;01/31/2024
12618;08/07/2025;08/28/2025
13114;08/31/2025;09/04/2025
13185;10/11/2024;11/22/2024
14321;02/21/2025;03/28/2025
3997;02/21/2025;02/24/2025
6657;12/23/2025;01/04/2026
9188;11/14/2025;11/19/2025
12102;07/03/2025;07/06/2025
14684;01/14/2026;01/21/2026
1624;07/06/2025;07/10/2025
5030;01/16/2026;02/19/2026
8420;01/07/2024;01/15/2024
8773;03/13/2026;03/16/2026
9832;07/12/2024;07/17/2024
2219;01/08/2025;01/16/2025
2973;03/21/2026;03/24/2026
3154;02/21/2025;02/24/2025
5225;03/01/2025;03/04/2025
6930;02/07/2025;02/17/2025
6985;09/05/2025;09/08/2025
13068;02/29/2024;08/30/2024
3051;01/02/2024;01/10/2024
9303;02/11/2024;02/14/2024
9303;11/20/2024;11/25/2024
8734;02/25/2024;03/11/2024
9561;01/17/2026;01/21/2026
10425;12/25/2025;01/06/2026
13315;04/02/2025;05/19/2025
14547;03/22/2026;03/27/2026
3266;03/31/2026;04/06/2026
3010;12/25/2025;01/04/2026
3117;05/29/2025;06/03/2025
7463;06/07/2025;06/11/2025
8727;05/31/2025;06/05/2025
9312;01/15/2026;01/21/2026
14040;08/14/2025;08/21/2025
1255;05/01/2024;05/05/2024
3126;10/24/2025;11/13/2025
4960;12/16/2025;01/05/2026
7968;01/14/2026;01/23/2026
9378;03/22/2025;03/25/2025
1007;05/29/2024;06/06/2024
1816;06/29/2025;07/02/2025
1577;02/21/2024;02/27/2024
4638;05/03/2024;05/13/2024
6525;02/24/2024;02/27/2024
8709;03/28/2026;04/09/2026
11292;01/02/2024;11/18/2024
12648;08/22/2025;09/15/2025
14663;11/07/2025;11/10/2025
2137;05/01/2025;05/05/2025
4432;03/29/2026;04/06/2026
8390;01/11/2026;01/14/2026
9726;02/22/2025;03/06/2025
9964;02/18/2026;02/24/2026
5938;06/20/2024;08/05/2024
6782;04/10/2024;04/18/2024
8821;01/23/2026;01/26/2026
191;02/03/2024;02/09/2024
1128;04/16/2025;04/21/2025
7307;04/16/2025;04/20/2025
10371;03/26/2026;03/29/2026
13241;02/20/2025;03/07/2025
903;02/05/2026;02/08/2026
2917;04/10/2026;04/17/2026
6179;08/09/2024;08/12/2024
6289;02/26/2026;03/02/2026
6732;12/05/2025;12/09/2025
11051;07/12/2024;08/04/2024
14114;10/30/2025;11/03/2025
81;06/19/2025;06/25/2025
1162;04/10/2024;04/14/2024
1221;10/13/2024;10/21/2024
6609;02/25/2024;02/29/2024
13058;02/16/2024;02/26/2024
4838;06/02/2024;06/05/2024
14167;01/29/2025;02/20/2025
12667;07/24/2025;08/14/2025
9963;05/30/2025;06/11/2025
2512;06/25/2024;07/07/2024
6581;03/17/2024;04/02/2024
6639;05/29/2025;06/03/2025
13471;12/13/2024;01/23/2025
13213;02/27/2025;05/21/2025
15285;01/02/2024;09/17/2025
763;02/14/2025;02/18/2025
1315;01/30/2026;02/02/2026
5580;09/03/2024;09/06/2024
6260;08/24/2024;08/27/2024
292;01/26/2024;02/01/2024
1947;04/02/2026;04/06/2026
2292;12/25/2024;01/06/2025
2457;12/11/2024;12/18/2024
14737;11/13/2025;11/28/2025
2868;01/23/2024;02/05/2024
5031;12/18/2025;12/21/2025
6167;02/01/2024;02/05/2024
9413;08/31/2024;09/03/2024
12638;04/03/2025;04/07/2025
13004;01/24/2024;01/28/2024
14142;05/07/2026;05/12/2026
14270;01/17/2025;01/23/2025
2973;01/31/2026;02/03/2026
